0.3	1.00004
0.4	1.00004
0.5	0.999983
0.6	0.999971
0.7	1.00008
0.8	0.999874
0.9	0.999706
1	0.999499
1.1	-0.998274
1.2	0.997253
1.3	0.995061
1.4	0.991499
1.5	0.986291
1.6	0.98043
1.7	0.82008
1.8	0.675529
1.9	0.378385
2	0.28044
2.1	0.154547
2.2	0.109649
2.3	-0.0407659
2.4	-0.0189475
2.5	0.0590569
2.6	0.000628291
2.7	0.0347949
2.8	-0.0639723
2.9	-0.0146602
3	0.0116556
3.1	0.031896
3.2	0.02761
3.3	-0.0044937
3.4	-0.00289433
3.5	-0.0102012
3.6	-0.00135119
3.7	-0.0118542
3.8	0.0113298
3.9	0.0126809
4	-0.0151186
